sentence	entity	entity_tag	entity_pos_start_rel	entity_pos_end_rel	label
Официальный представитель Талибана Забиулла Муджахид у себя в твиттере утверждает, что в результате атаки талибов в деревне Ахунд Баба в районе Бараки Барак были убиты «5 американских захватчиков и 9 наёмников», со стороны талибов погибло «2 муджахида».	американских захватчиков	PROFESSION	171	195	-1
По его словам, он намерен отменить часть принятых Бараком Обамой мер, направленных на нормализацию отношений с Кубой после полувековой изоляции.	Бараком Обамой	PERSON	50	64	-1
Среди других звезд, выразивших свой протест против пресловутого закона — американский шоумен с телеканала Bravo Энди Коэн, который ранее вел конкурсы «Мисс Вселенная».	американский	NATIONALITY	73	85	0
Президент Израиля Реувен Ривлин и премьер-министр Биньямин Нетаньяху обратились к Путину с просьбами о помиловании девушки.	премьер-министр	PROFESSION	34	49	0
После этого он дважды переназначался на этот пост после отмены прямых выборов: в 2005г. - по представлению Владимира Путина, тогда президента России, и в 2010г. - по представлению действующего главы государства Дмитрия Медведева.	главы государства	PROFESSION	193	210	0
Газета «Гардиан» приводит также высказывание одного иранского офицера, что британские много раз моряки заходили в иранские территориальные воды.	моряки	PROFESSION	96	102	0
На северодвинской сцене роли исполняли: Сергей Виконтович Астахов (Козлов) (''Роберт Кэплен''), Эвелина Висвальдовна Блёданс (''Фреда''), Татьяна Альбертовна Абрамова (''Олуэн Пиил''), Ольга Альбертовна Арнтгольц (Бетти),  Андрей Игоревич Харитонов (''Чарльз Трэвор Стэнтон''),  Вахтанг Ираклиевич Беридзе (''Гордон Уайтхауз'').	Олуэн Пиил	PERSON	170	180	0
Сопредседателями с грузинской стороны стали первый заместитель министра иностранных дел Давид Залкалиани и советник министра обороны Шота Гвинерия.	грузинской	COUNTRY	19	29	0
При этом банк «Пересвет» возложил ответственность за неудачное размещение облигаций, помешавшее привлечь два миллиарда рублей, на средства массовой информации	средства массовой информации	ORGANIZATION	130	158	-1
Газета «Гардиан» приводит также высказывание одного иранского офицера, что британские много раз моряки заходили в иранские территориальные воды.	Гардиан	ORGANIZATION	8	15	0
2 февраля 1997 года тело задушенного Солоника было обнаружено недалеко от Афин.	Солоника	PERSON	37	45	0
Эти статьи предусматривают наказание до пяти лет тюремного заключение, но вынесение такого вердикта маловероятно, учитывая обращение прокурора.	прокурора	PROFESSION	133	142	0
Связанное с Исламским государством агентство Amaq назвало Шекатта своим «солдатом», который «осуществил эту операцию в ответ на призывы сделать мишенью граждан стран коалиции».	Amaq	ORGANIZATION	45	49	1
Компания считает, что правительство США завысило их на 20—50 %.	правительство США	ORGANIZATION	22	39	-1
"Однако в четверг представитель неправительственной организации ""Сеть поддержки выборов в Зимбабве"" (Zimbabwe Election Support Network, ZESN) назвал результаты мониторинга процесса выборов ""катастрофой"" для Цвангираи."	Цвангираи	PERSON	206	215	-1
Заявление Дональда Трампа-младшего о том, что его встреча с российским адвокатом в июне 2016 года не была связана с предвыборной кампанией его отца, продиктовал сам президент Дональд Трамп, сообщила газета ''Washington Post''.	адвокатом	PROFESSION	71	80	0
Однако многие поклонники Бандеры старались не афишировать его сотрудничество с нацистской Германией в борьбе за независимость Украины в качестве лидера Организации украинских националистов (ОУН).	Бандеры	PERSON	25	32	-1
Болгарское правительство уходит в отставку после массовых протестов, вызванных сильным сокращением социальных расходов и резким увеличением цен на электроэнергию, сообщает агентство ''Reuters''.	Болгарское	COUNTRY	0	10	0
Жозе Моуринью пока является самым успешным тренером в истории Челси.	Челси	ORGANIZATION	62	67	0
Мюррей признан виновным в смерти Джексона из-за того, что он прописал певцу мощный анестетик «Пропофол» для сна, а затем не проконтролировал должным образом состояние Джексона.	Мюррей	PERSON	0	6	-1
Сборная России по футболу должна набрать шесть очков в ближайших отборочных матчах чемпионата Европы 2012 года с командами Македонии и Ирландии, которые состоятся 2 и 6 сентября соответственно.	России	COUNTRY	8	14	0
Фотожурналист из Швеции Пол Хансен стал лауреатом премии «World Press Photo» в номинации «фотография года».	Швеции	COUNTRY	17	23	0
Метцнер славился своими способностями разбираться в наиболее запутанных и сложных делах, в связи с чем к его услугам нередко прибегали международные корпорации.	Метцнер	PERSON	0	7	1
Турция, США и Европейский Союз считают Курдскую рабочую партию – террористической организацией.	Курдскую	NATIONALITY	39	47	0
JSTOR отказалась от претензий к Шварцу, но прокуратура приняла решение продолжить дело, по которому ему грозило до 35-ти лет тюремного заключения.	Шварцу	PERSON	32	38	1
