sentence	entity	entity_tag	entity_pos_start_rel	entity_pos_end_rel
"Мы будем сидеть на скамьях оппозиции в Национальной ассамблее и Сенате (нижняя и верхняя палаты парламента - ред.)"", - заявил представитель MQM Васай Джалил (Wasay Jalil)."	Национальной ассамблее	ORGANIZATION	39	61
"Мы будем сидеть на скамьях оппозиции в Национальной ассамблее и Сенате (нижняя и верхняя палаты парламента - ред.)"", - заявил представитель MQM Васай Джалил (Wasay Jalil)."	Сенате	ORGANIZATION	64	70
"Мы будем сидеть на скамьях оппозиции в Национальной ассамблее и Сенате (нижняя и верхняя палаты парламента - ред.)"", - заявил представитель MQM Васай Джалил (Wasay Jalil)."	верхняя палаты парламента	ORGANIZATION	81	106
"Мы будем сидеть на скамьях оппозиции в Национальной ассамблее и Сенате (нижняя и верхняя палаты парламента - ред.)"", - заявил представитель MQM Васай Джалил (Wasay Jalil)."	представитель MQM	PROFESSION	126	143
По мнению аналитиков, данный шаг Движения, скорее всего, приведет к проведению в 2013 году досрочных парламентских выборов, так как Народной партии Пакистана (основной в правящей коалиции) будет очень сложно формировать новую коалицию.	Движения	ORGANIZATION	33	41
По мнению аналитиков, данный шаг Движения, скорее всего, приведет к проведению в 2013 году досрочных парламентских выборов, так как Народной партии Пакистана (основной в правящей коалиции) будет очень сложно формировать новую коалицию.	Пакистана	COUNTRY	148	157
По мнению аналитиков, данный шаг Движения, скорее всего, приведет к проведению в 2013 году досрочных парламентских выборов, так как Народной партии Пакистана (основной в правящей коалиции) будет очень сложно формировать новую коалицию.	аналитиков	PROFESSION	10	20
Правящая коалиция Пакистана лишилась большинства в парламенте.	коалиция Пакистана	ORGANIZATION	9	27
Правящая коалиция Пакистана лишилась большинства в парламенте.	парламенте	ORGANIZATION	51	61
"Причиной такого решения партия ""Объединенное национальное движение"" (Muttahida Qaumi Movement, MQM) назвала политику государства в области цен на топливо, которые были подняты с начала 2011 года."	MQM	ORGANIZATION	95	98
"Причиной такого решения партия ""Объединенное национальное движение"" (Muttahida Qaumi Movement, MQM) назвала политику государства в области цен на топливо, которые были подняты с начала 2011 года."	Muttahida Qaumi Movement	ORGANIZATION	69	93
  Агентство AFP поясняет, что главы 13 европейских концернов направили в Европейскую комиссию жалобу на Венгрию, потребовав наложить на нее санкции за введение специального кризисного налога для крупных концернов.	AFP	ORGANIZATION	12	15
  Агентство AFP поясняет, что главы 13 европейских концернов направили в Европейскую комиссию жалобу на Венгрию, потребовав наложить на нее санкции за введение специального кризисного налога для крупных концернов.	Венгрию	COUNTRY	104	111
  Агентство AFP поясняет, что главы 13 европейских концернов направили в Европейскую комиссию жалобу на Венгрию, потребовав наложить на нее санкции за введение специального кризисного налога для крупных концернов.	Европейскую комиссию	ORGANIZATION	73	93
  Агентство AFP поясняет, что главы 13 европейских концернов направили в Европейскую комиссию жалобу на Венгрию, потребовав наложить на нее санкции за введение специального кризисного налога для крупных концернов.	главы 13 европейских концернов	PROFESSION	30	60
В жалобе подчеркивается, что этот налог, который призван принести в венгерскую казну 1,3 млрд евро, будет распространяться фактически только на такие секторы экономики, как энергетика, телекоммуникации, торговля и финансовые услуги, где доминируют иностранные предприятия.	венгерскую казну	ORGANIZATION	68	84
В то же время некоторые венгерские фирмы демонстративно освобождены от уплаты этого налога, указывается в документе.	венгерские	COUNTRY	24	34
Венгрия с 1 января заступила по ротации на пост председателя Евросоюза сроком на 6 месяцев.	председателя Евросоюза	PROFESSION	48	70
Кризисный налог станет одной из тем его переговоров с министром национального развития Венгрии Тамашем Феллеги в январе.	Тамашем Феллеги	PERSON	95	110
Кризисный налог станет одной из тем его переговоров с министром национального развития Венгрии Тамашем Феллеги в январе.	министром национального развития Венгрии	PROFESSION	54	94
